freq	S11	S22	Stability	Gain	Noise
2.52	-2.13783869925633270E1	-2.73993092050736480E1	1.51253868850097730E0	1.37555213823527160E1	5.20665879256820570E-1
2.53	-2.05254995907246580E1	-2.62223119327348500E1	1.51892537737638330E0	1.37005151047026150E1	5.15567757200970340E-1
2.54	-1.96169182451931020E1	-2.51286000569184820E1	1.52523908045867800E0	1.36435306348877860E1	5.10816267348762130E-1
2.55	-1.87127022834529130E1	-2.41478851333076920E1	1.53148554604711770E0	1.35846051505195060E1	5.06444148322950930E-1
2.56	-1.78435408653941360E1	-2.32805917764970440E1	1.53765840290395330E0	1.35238069517071670E1	5.02452949191163430E-1
2.57	-1.70232836605374920E1	-2.25182186973543260E1	1.54376682321605910E0	1.34611614810248950E1	4.98884987554405690E-1
2.58	-1.62554910199356970E1	-2.18491202350304990E1	1.54980152393541610E0	1.33967375295039370E1	4.95735414721712960E-1
2.59	-1.55397328134302490E1	-2.12630315506240700E1	1.55577514699099910E0	1.33305477023689310E1	4.93055803601756000E-1
2.6	-1.48725690077972450E1	-2.07500596120922420E1	1.56167489157057360E0	1.32626605503927710E1	4.90833846156279030E-1
2.61	-1.42505303995351860E1	-2.03026854399871450E1	1.56751588043201860E0	1.31930779008535780E1	4.89127672381935420E-1
2.62	-1.36691725570589510E1	-1.99137959964817530E1	1.57328304835700110E0	1.31218618159045760E1	4.87920758469282760E-1
2.63	-1.31250051938412570E1	-1.95783284032347570E1	1.57899413501446010E0	1.30490022288598300E1	4.87277802999304740E-1
2.64	-1.26140713582372950E1	-1.92913166834926630E1	1.58463316579283050E0	1.29745505960452000E1	4.87181530422963060E-1
2.65	-1.21333997095977590E1	-1.90493226286658770E1	1.59021542677527770E0	1.28984930278438800E1	4.87690743894733460E-1
2.66	-1.16798473234679710E1	-1.88489845111704880E1	1.59572895380051930E0	1.28208607726185760E1	4.88799287107383230E-1
2.67	-1.12510001105194380E1	-1.86879491249909570E1	1.60118530143448460E0	1.27416375627828570E1	4.90557208378782580E-1
2.68	-1.08444074619031630E1	-1.85639471185061460E1	1.60657608826196020E0	1.26608351222612250E1	4.92967977981874660E-1
2.69	-1.04581197531815540E1	-1.84753549731877100E1	1.61190934818082350E0	1.25784315331060600E1	4.96073661793900200E-1
2.7	-1.00902432050079870E1	-1.84206544589370940E1	1.61718006210636790E0	1.24944206476160490E1	4.99886488284614480E-1
2.71	-9.73921256703482640E0	-1.83987090726264450E1	1.62239281375697830E0	1.24087757042465640E1	5.04440940342821250E-1
2.72	-9.40355558304936600E0	-1.84084709534972220E1	1.62754575406384230E0	1.23214729375435230E1	5.09757161300743360E-1
2.73	-9.08199743414805560E0	-1.84490569446975880E1	1.63264130183794910E0	1.22324750615668850E1	5.15865233792700990E-1
2.74	-8.77339415528548190E0	-1.85196222672403230E1	1.63768041120041310E0	1.21417427340435240E1	5.22792047882781660E-1
2.75	-8.47670804956397280E0	-1.86192653944826030E1	1.64266172896597330E0	1.20492346374280120E1	5.30559668874170850E-1
2.76	-8.19104868444242480E0	-1.87469914625665330E1	1.64758880297324150E0	1.19548970970638590E1	5.39200940503319970E-1
2.77	-7.91556421004814940E0	-1.89014658567613060E1	1.65245868283684680E0	1.18586783798674910E1	5.48735038731008460E-1
2.78	-7.64956301490612670E0	-1.90809871060662430E1	1.65727786055420420E0	1.17605104384085140E1	5.59201293389761120E-1
2.79	-7.39234661177278870E0	-1.92830753562701610E1	1.66203998754615250E0	1.16603383081181460E1	5.70611850457324010E-1
2.8	-7.14337987921080850E0	-1.95043820444142040E1	1.66675374060752720E0	1.15580827505920110E1	5.83010577539972270E-1
2.81	-6.90209294524186310E0	-1.97400992761059020E1	1.67141087617790430E0	1.14536835355466660E1	5.96405967539500810E-1
2.82	-6.66807870999374510E0	-1.99837548547046980E1	1.67602246468157380E0	1.13470521822540430E1	6.10846565197132120E-1
2.83	-6.44087017589442650E0	-2.02265036933979840E1	1.68057796700337820E0	1.12381254749918360E1	6.26336346378452460E-1
2.84	-6.22015918631123550E0	-2.04569724773905160E1	1.68509183061115490E0	1.11268033311838080E1	6.42930771312201980E-1
2.85	-6.00557509416652290E0	-2.06608501538922160E1	1.68955148540493450E0	1.10130250496360490E1	6.60629278722600870E-1
2.86	-5.79687670667342130E0	-2.08214337216791630E1	1.69396866284034870E0	1.08966934887263260E1	6.79481086954894490E-1
2.87	-5.59378518075106170E0	-2.09205616859115380E1	1.69833474832146550E0	1.07777410480579160E1	6.99493715971868820E-1
2.88	-5.39611379009556020E0	-2.09407979509263200E1	1.70266042316202640E0	1.06560716873917660E1	7.20713848286939740E-1
2.89	-5.20365432538063550E0	-2.08680960881493990E1	1.70693856380225140E0	1.05316194304104880E1	7.43151374275961450E-1
2.9	-5.01625811787191190E0	-2.06946417602412810E1	1.71117580170384140E0	1.04042976088407600E1	7.66844168138791280E-1
2.91	-4.83377723420348550E0	-2.04205359902362420E1	1.71536845044209920E0	1.02740409815240710E1	7.91808411695063090E-1
2.92	-4.65610056743211230E0	-2.00537530141871700E1	1.71952140430378450E0	1.01407730643946060E1	8.18077560855076590E-1
2.93	-4.48312281754759300E0	-1.96082829530911740E1	1.72363334550530770E0	1.00044332729308900E1	8.45671738321640020E-1
2.94	-4.31475795704068600E0	-1.91013312448005520E1	1.72770704192464470E0	9.86495727841355400E0	8.74619394442570910E-1
2.95	-4.15093297317514500E0	-1.85505819191106310E1	1.73174373660305480E0	9.72229149423252710E0	9.04944813290687300E-1
2.96	-3.99158160261004720E0	-1.79721996367892300E1	1.73574285048314030E0	9.57639133704512520E0	9.36668295418814090E-1
2.97	-3.83665221635670450E0	-1.73797891337339890E1	1.73970815244241290E0	9.42721178157228930E0	9.69818249280068480E-1
2.98	-3.68609307220463080E0	-1.67840952085290880E1	1.74363726534535760E0	9.27472756882868940E0	1.00440980047836080E0
2.99	-3.53986561320526860E0	-1.61931978861621540E1	1.74753667665988370E0	9.11890358430810720E0	1.04047576163786840E0
3	-3.39792472538066500E0	-1.56129062363385110E1	1.75140146076212950E0	8.95973677830124340E0	1.07802446125576030E0
3.01	-3.26023712105842070E0	-1.50472285272386500E1	1.75524128855765430E0	8.79720082884829680E0	1.11709435666690780E0
3.02	-3.12676092597341570E0	-1.44987896738753500E1	1.75904785456480340E0	8.63132017934368890E0	1.15768451067002180E0
3.03	-2.99746112868968060E0	-1.39691890531179540E1	1.76283278257882840E0	8.46207940785640920E0	1.19983678668337590E0
3.04	-2.87229666573545830E0	-1.34592873652556030E1	1.76658619237356860E0	8.28952819139981220E0	1.24354420562526080E0
3.05	-2.75122982001016950E0	-1.29694131975726920E1	1.77032411583786330E0	8.11365848118907000E0	1.28885656027223220E0
3.06	-2.63421344029918900E0	-1.24995250584936040E1	1.77403376388470280E0	7.93454517991115620E0	1.33575863899944740E0
3.07	-2.52119923574925590E0	-1.20493222584611950E1	1.77772868254080700E0	7.75219940287607300E0	1.38429452863273480E0
3.08	-2.41213697428280630E0	-1.16183443012563140E1	1.78140008575241370E0	7.56670708168125650E0	1.43445465664822660E0
3.09	-2.30697046821439010E0	-1.12060133097067750E1	1.78506031338773160E0	7.37809916184917110E0	1.48627846928909470E0
3.1	-2.20564093519257560E0	-1.08116903080433160E1	1.78870238465152600E0	7.18647213657140330E0	1.53975852271901290E0
3.11	-2.10808299792522160E0	-1.04346937695729000E1	1.79233535588768360E0	6.99187971961383600E0	1.59492525574243340E0
3.12	-2.01422952114468810E0	-1.00743315609772430E1	1.79595551134209000E0	6.79442324477745350E0	1.65177654517182180E0
3.13	-1.92400640886641440E0	-9.72990513124935140E0	1.79956966095597590E0	6.59417430918657030E0	1.71033599477164320E0
3.14	-1.83733849112313630E0	-9.40072938117505250E0	1.80317700099857010E0	6.39123721347673350E0	1.77060627915366870E0
3.15	-1.75414529620688860E0	-9.08613177284567190E0	1.80678171565116160E0	6.18570321881365710E0	1.83260214858592030E0
3.16	-1.67434396049403840E0	-8.78546079370020290E0	1.81038621183080410E0	5.97767477235780920E0	1.89633236181912830E0
3.17	-1.59784829286852690E0	-8.49808606065629140E0	1.81399160218491180E0	5.76726078175489750E0	1.96180191943103320E0
3.18	-1.52456917945290240E0	-8.22340108841372340E0	1.81760386259715870E0	5.55455775586093740E0	2.02902689321161840E0
3.19	-1.45441615768658840E0	-7.96082323393148170E0	1.82122049351424060E0	5.33969137092618060E0	2.09800114971261880E0
3.2	-1.38729509758892110E0	-7.70979355108588040E0	1.82485100771717270E0	5.12274803076233810E0	2.16874902455838160E0
3.21	-1.32311411393121810E0	-7.46977986303888560E0	1.82848997989133190E0	4.90386960935552100E0	2.24125318359732220E0
3.22	-1.26177598977146420E0	-7.24027076172594080E0	1.83215097129409440E0	4.68312886873319110E0	2.31554767477625980E0
3.23	-1.20318823569861230E0	-7.02078083121143410E0	1.83582502125253330E0	4.46068226751933230E0	2.39160279622034410E0
3.24	-1.14725262864774220E0	-6.81084535870717470E0	1.83953161803403000E0	4.23658237378723350E0	2.46946669022681010E0
3.25	-1.09387700548497200E0	-6.61002070791301130E0	1.84325588635477370E0	4.01100415360206240E0	2.54909204099834330E0
3.26	-1.04296267006846640E0	-6.41788356703047920E0	1.84702140459458100E0	3.78397940592970890E0	2.63053929261441200E0
3.27	-9.94419887883941020E-1	-6.23403147234864540E0	1.85081179558377930E0	3.55568995492941960E0	2.71375271694474220E0
3.28	-9.48152488421927410E-1	-6.05808078943049290E0	1.85464995525763230E0	3.32616632977168750E0	2.79879020084915810E0
3.29	-9.04072501949204190E-1	-5.88966543575796480E0	1.85852294638579400E0	3.09557433146822540E0	2.88560349327055920E0
3.3	-8.62087858779460880E-1	-5.72843849961201100E0	1.86245116040243790E0	2.86395054215106360E0	2.97424197724987050E0
3.31	-8.22113181669119440E-1	-5.57406720285558150E0	1.86642522586828760E0	2.63144240332098440E0	3.06466615531420580E0
3.32	-7.84061404937481580E-1	-5.42623830575074170E0	1.87046285942824510E0	2.39809398789551810E0	3.15691557210356820E0
3.33	-7.47850415106711350E-1	-5.28464969339932460E0	1.87455871755012060E0	2.16403154201008350E0	3.25096156652380010E0
3.34	-7.13398173753924780E-1	-5.14901721317946400E0	1.87872627706206230E0	1.92930890334111500E0	3.34683087791293370E0
3.35	-6.80626692254499230E-1	-5.01906798374611360E0	1.88296541821765690E0	1.69402827988067450E0	3.44450873433746540E0
3.36	-6.49459373082053130E-1	-4.89454429427691820E0	1.88728552218748940E0	1.45825358794588490E0	3.54400869499685460E0
3.37	-6.19822748692503560E-1	-4.77520059996841170E0	1.89169236193652870E0	1.22206089198196400E0	3.64533229164757120E0
3.38	-5.91645865348919030E-1	-4.66080240210520640E0	1.89618973202240300E0	9.85529611569846690E-1	3.74847543052835790E0
3.39	-5.64860032296140700E-1	-4.55112996365187780E0	1.90079029537686580E0	7.48707165266702200E-1	3.85345904502816120E0
3.4	-5.39399612795316940E-1	-4.44596872852750910E0	1.90549184950817980E0	5.11687833877424760E-1	3.96026104602284420E0
3.41	-5.15200817367625060E-1	-4.34512357476642920E0	1.91031516261950050E0	2.74487320230299800E-1	4.06892566849679320E0
3.42	-4.92203507356634160E-1	-4.24839751892927180E0	1.91525092028095580E0	3.72208180898574530E-2	4.17940819224043030E0
3.43	-4.70349158849330880E-1	-4.15562012929958420E0	1.92033028346778980E0	-2.00129958377446870E-1	4.29178055343429230E0
3.44	-4.49582132436912030E-1	-4.06660705755733340E0	1.92553389534882750E0	-4.37426573457047140E-1	4.40597136406299490E0
3.45	-4.29848917629320850E-1	-3.98121151396653070E0	1.93090460294068240E0	-6.74725178774704660E-1	4.52208522892184830E0
3.46	-4.11098490076400400E-1	-3.89925983263523170E0	1.93641206418845210E0	-9.11858570531430960E-1	4.64001961195472830E0
3.47	-3.93282703679719560E-1	-3.82063003038582360E0	1.94211408157655430E0	-1.14892284342264370E0	4.75991723351858640E0
3.48	-3.76354325730759380E-1	-3.74515735696009240E0	1.94797131577006710E0	-1.38573393159658090E0	4.88165404352369150E0
3.49	-3.60269851406157660E-1	-3.67273558430933810E0	1.95404234731691240E0	-1.62238775744363430E0	5.00537380805353390E0
3.5	-3.44986177074192210E-1	-3.60321599093325600E0	1.96029424254478360E0	-1.85872390449404620E0	5.13097128790207610E0
